Sample_ID,Graphene_Type,Polymer_Type,Density (g/cm^3),Initial_Viscosity (Pa.s),Viscosity_After_Shear (Pa.s),Thermal_Conductivity (W/mK),Elastic_Modulus (GPa),Plasticity_Index,Shear_Stress_Response,Application_in_Robotics
67,Reduced Graphene Oxide,Polystyrene,0.934,307.53,489.62,0.4,5.59,0.27,High,Shock Absorber
68,Reduced Graphene Oxide,Polyethylene Glycol,0.916,299.12,397.64,0.24,5.44,0.27,High,Hydraulic Actuator
69,Reduced Graphene Oxide,Polyethylene Glycol,0.874,1554.31,199.98,0.17,3.66,0.1,Medium,Hydraulic Actuator
70,Graphene Oxide,Polystyrene,0.988,1171.89,153.49,0.14,9.04,0.34,High,Temperature Regulator
71,Graphene Nanoplatelets,Polystyrene,0.995,161.6,1058.54,0.57,1.39,0.04,High,Shock Absorber
72,Reduced Graphene Oxide,Polystyrene,0.857,698.23,947.14,0.31,3.4,0.07,Low,Shock Absorber
73,Reduced Graphene Oxide,Polyvinyl Alcohol,0.861,750.28,454.91,0.39,3.32,0.0,High,Temperature Regulator
74,Reduced Graphene Oxide,Polystyrene,0.897,1216.06,1056.8,0.56,1.02,0.06,Medium,Shock Absorber
75,Reduced Graphene Oxide,Polyvinyl Alcohol,0.89,476.29,776.77,0.14,4.91,0.24,Medium,Shock Absorber
76,Reduced Graphene Oxide,Polyethylene Glycol,0.999,376.5,582.52,0.54,6.98,0.3,Medium,Hydraulic Actuator
77,Reduced Graphene Oxide,Polyvinyl Alcohol,0.835,221.31,593.03,0.38,5.22,0.4,Medium,Temperature Regulator
78,Graphene Nanoplatelets,Polystyrene,0.804,742.47,183.28,0.18,1.67,0.05,High,Temperature Regulator
79,Graphene Nanoplatelets,Polyethylene Glycol,0.899,1132.75,191.7,0.31,3.87,0.43,High,Temperature Regulator
80,Reduced Graphene Oxide,Polyethylene Glycol,0.836,187.29,702.44,0.49,0.13,0.37,Medium,Temperature Regulator
81,Graphene Nanoplatelets,Polyethylene Glycol,0.873,1472.82,653.7,0.34,8.78,0.2,Medium,Hydraulic Actuator
82,Graphene Oxide,Polyvinyl Alcohol,0.949,763.53,312.73,0.59,0.95,0.47,High,Hydraulic Actuator
83,Reduced Graphene Oxide,Polystyrene,0.944,459.68,1046.19,0.29,6.07,0.5,Medium,Shock Absorber
84,Graphene Oxide,Polyethylene Glycol,0.862,240.81,881.3,0.47,9.96,0.1,Low,Shock Absorber
85,Graphene Oxide,Polyethylene Glycol,0.909,374.3,213.46,0.3,5.47,0.19,Medium,Shock Absorber
86,Reduced Graphene Oxide,Polyethylene Glycol,0.902,1501.92,1030.93,0.51,9.34,0.46,Medium,Shock Absorber
87,Graphene Nanoplatelets,Polyvinyl Alcohol,0.927,1057.41,1074.25,0.38,2.46,0.36,Low,Hydraulic Actuator
88,Graphene Oxide,Polyvinyl Alcohol,0.85,875.04,1095.93,0.13,7.7,0.02,Low,Temperature Regulator
89,Reduced Graphene Oxide,Polystyrene,0.918,1085.67,155.87,0.12,5.41,0.39,High,Hydraulic Actuator
90,Graphene Oxide,Polyvinyl Alcohol,0.996,753.51,837.04,0.17,7.31,0.41,High,Shock Absorber
91,Graphene Oxide,Polyethylene Glycol,0.897,1195.06,645.92,0.11,0.72,0.38,Low,Hydraulic Actuator
92,Graphene Oxide,Polystyrene,0.981,171.57,805.83,0.14,1.58,0.4,Low,Temperature Regulator
93,Graphene Oxide,Polyethylene Glycol,0.887,949.06,1068.65,0.45,1.43,0.41,High,Temperature Regulator
94,Graphene Nanoplatelets,Polyethylene Glycol,0.87,337.97,788.03,0.37,6.97,0.09,Medium,Hydraulic Actuator
95,Graphene Oxide,Polyvinyl Alcohol,0.929,280.25,936.96,0.47,8.54,0.12,Low,Hydraulic Actuator
96,Graphene Oxide,Polystyrene,0.934,612.82,966.87,0.56,7.6,0.32,High,Hydraulic Actuator
97,Graphene Oxide,Polyvinyl Alcohol,0.973,237.7,938.48,0.39,0.4,0.45,Medium,Shock Absorber
98,Graphene Nanoplatelets,Polyvinyl Alcohol,0.846,241.24,526.09,0.46,8.77,0.16,Low,Hydraulic Actuator
99,Graphene Oxide,Polystyrene,0.9,567.12,322.58,0.48,3.64,0.29,Medium,Hydraulic Actuator
100,Graphene Oxide,Polyethylene Glycol,0.914,1569.27,496.65,0.29,4.07,0.34,High,Hydraulic Actuator
